RECORD,ELEVATION,UTMX,UTMY,LINE_NO,SURVEY_ID,MEASUREMENTS,DOI_STANDARD
86666,84.0,23242.04101562,-121220.3125,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [40.01, 41.6, 41.55, 39.2, 35.27, 31.02, 27.33, 25.15, 22.38, 17.61, 12.62, 12.82, 23.17, 45.09, 76.23, 112.4, 149.1, 182.3, 208.4, 224.3, 228.0, 218.2, 194.6, 158.3, 112.4, 63.25, 22.93, 5.161, 6.91, 18.53], ""RHO_STD"": [1.697, 1.837, 1.882, 1.837, 1.891, 1.852, 1.755, 1.769, 1.741, 1.662, 1.578, 1.574, 1.777, 2.01, 2.22, 2.39, 2.52, 2.6, 2.68, 2.85, 3.22, 3.92, 5.13, 7.1, 10.14, 99.0, 99.0, 99.0, 99.0, 99.0]}",106.967
86685,88.0,22734.69335938,-120699.7578125,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [89.98, 89.95, 87.11, 80.36, 69.18, 54.53, 38.95, 27.94, 26.98, 38.24, 59.67, 85.85, 111.7, 133.3, 149.2, 159.4, 165.0, 167.5, 168.5, 169.7, 172.2, 176.8, 183.0, 189.4, 192.4, 187.3, 169.2, 135.6, 87.98, 12.22], ""RHO_STD"": [1.845, 1.843, 2.08, 2.02, 1.906, 1.91, 1.85, 1.668, 1.678, 1.789, 1.917, 2.05, 2.15, 2.2, 2.22, 2.23, 2.24, 2.23, 2.21, 2.18, 2.17, 2.18, 2.19, 2.28, 2.64, 3.54, 5.3, 8.15, 99.0, 99.0]}",228.5
86687,88.0,22682.83203125,-120645.7734375,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [86.62, 81.67, 75.02, 66.7, 55.82, 43.47, 32.29, 26.02, 28.68, 41.85, 63.73, 90.0, 116.2, 139.2, 157.5, 170.9, 179.8, 184.4, 187.2, 188.4, 188.8, 188.9, 188.2, 185.9, 179.8, 166.7, 143.8, 110.6, 71.21, 15.24], ""RHO_STD"": [1.847, 1.829, 2.04, 1.957, 1.858, 1.873, 1.794, 1.66, 1.725, 1.832, 1.958, 2.09, 2.18, 2.23, 2.26, 2.28, 2.29, 2.29, 2.27, 2.24, 2.22, 2.22, 2.23, 2.31, 2.65, 3.53, 5.32, 8.33, 99.0, 99.0]}",227.297
86686,88.0,22708.83789062,-120672.6328125,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [88.83, 86.68, 82.23, 74.8, 63.93, 50.38, 36.88, 27.85, 28.1, 39.71, 60.73, 86.43, 111.8, 133.5, 150.2, 161.7, 169.0, 173.3, 175.9, 177.9, 180.2, 183.5, 187.4, 190.7, 190.7, 183.4, 164.3, 130.9, 84.78, 12.29], ""RHO_STD"": [1.845, 1.835, 2.06, 1.996, 1.888, 1.897, 1.833, 1.67, 1.699, 1.805, 1.927, 2.06, 2.15, 2.2, 2.22, 2.24, 2.25, 2.25, 2.23, 2.2, 2.19, 2.19, 2.2, 2.28, 2.62, 3.49, 5.22, 8.07, 99.0, 99.0]}",228.787
118789,86.0,22091.15234375,-120652.140625,sa_5_2022_spring_cdwr_291352,cdwr_sacv,"{""RHO"": [153.0, 143.2, 133.5, 113.8, 84.55, 49.96, 21.2, 12.4, 16.71, 15.84, 10.92, 13.05, 27.6, 54.45, 90.09, 130.7, 172.4, 211.6, 244.4, 267.0, 276.1, 268.7, 242.3, 196.3, 132.4, 60.82, 11.07, 0.8648, 8.67, 24.52], ""RHO_STD"": [2.05, 1.797, 2.02, 2.03, 1.857, 1.737, 1.557, 1.391, 1.578, 1.596, 1.498, 1.573, 1.84, 2.1, 2.31, 2.48, 2.61, 2.72, 2.8, 2.85, 2.89, 2.96, 3.1, 3.4, 3.98, 5.03, 6.91, 9.83, 99.0, 99.0]}",112.349
120127,90.0,23405.8046875,-120424.671875,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [65.23, 60.22, 55.49, 50.96, 46.09, 40.36, 33.75, 26.94, 21.71, 21.43, 30.28, 51.68, 86.45, 133.0, 188.4, 249.0, 310.6, 368.6, 417.7, 452.4, 467.7, 459.1, 423.8, 361.4, 275.6, 175.8, 80.49, 19.61, 7.612, 16.73], ""RHO_STD"": [1.822, 1.824, 1.954, 1.864, 1.854, 1.898, 1.814, 1.713, 1.681, 1.642, 1.759, 1.934, 2.1, 2.27, 2.43, 2.56, 2.66, 2.73, 2.77, 2.84, 3.01, 3.37, 4.0, 5.02, 6.49, 8.32, 9.93, 9.75, 7.13, 9.26]}",185.799
86677,91.0,22944.88085938,-120926.84375,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [88.53, 100.9, 107.2, 104.3, 90.47, 66.11, 36.06, 11.87, 6.224, 25.2, 66.18, 120.1, 180.4, 242.7, 304.0, 361.5, 412.2, 453.0, 480.6, 491.8, 483.5, 454.4, 403.9, 333.0, 246.3, 152.6, 67.38, 15.3, 5.602, 11.15], ""RHO_STD"": [1.76, 1.848, 2.11, 2.07, 1.949, 1.927, 1.843, 1.451, 1.267, 1.838, 2.12, 2.32, 2.5, 2.66, 2.79, 2.88, 2.94, 2.97, 3.02, 3.14, 3.43, 3.98, 4.95, 6.53, 9.0, 99.0, 99.0, 99.0, 99.0, 99.0]}",122.135
120101,91.0,22735.96289062,-121062.6953125,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [48.88, 59.66, 65.02, 63.48, 55.33, 42.37, 27.85, 15.23, 6.957, 6.746, 20.75, 50.44, 92.08, 141.2, 193.8, 246.1, 294.1, 333.9, 361.7, 373.9, 367.8, 341.4, 294.1, 227.4, 146.3, 63.41, 8.314, 0.8356, 9.689, 27.53], ""RHO_STD"": [1.636, 1.866, 1.993, 1.918, 1.92, 1.911, 1.745, 1.614, 1.368, 1.384, 1.797, 2.09, 2.32, 2.51, 2.66, 2.79, 2.9, 2.98, 3.03, 3.05, 3.03, 2.98, 2.92, 2.91, 3.03, 3.47, 4.62, 7.67, 9.81, 99.0]}",121.985
120095,91.0,22621.96484375,-121207.609375,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [41.86, 53.87, 59.16, 56.55, 48.21, 35.14, 22.97, 15.62, 12.38, 9.472, 8.65, 14.59, 29.83, 53.75, 83.72, 116.6, 149.1, 178.2, 200.8, 214.4, 216.7, 206.2, 182.1, 144.9, 97.32, 46.59, 9.424, 1.141, 7.765, 23.79], ""RHO_STD"": [1.749, 1.904, 1.984, 1.921, 1.928, 1.876, 1.699, 1.619, 1.565, 1.512, 1.491, 1.676, 1.915, 2.13, 2.31, 2.46, 2.58, 2.68, 2.75, 2.77, 2.76, 2.73, 2.78, 3.0, 3.6, 4.84, 7.21, 10.64, 99.0, 99.0]}",148.22
118785,90.0,22163.0078125,-120527.5703125,sa_5_2022_spring_cdwr_291352,cdwr_sacv,"{""RHO"": [125.9, 97.93, 79.11, 70.11, 55.51, 41.21, 26.41, 15.33, 12.73, 13.45, 14.46, 19.4, 32.48, 54.35, 83.13, 116.4, 151.3, 184.7, 212.8, 231.7, 237.6, 227.3, 198.6, 151.0, 88.36, 26.81, 1.135, 3.248, 13.33, 29.11], ""RHO_STD"": [2.24, 1.868, 2.0, 2.06, 1.903, 1.76, 1.79, 1.587, 1.564, 1.6, 1.621, 1.721, 1.879, 2.07, 2.26, 2.43, 2.56, 2.62, 2.64, 2.7, 2.91, 3.39, 4.27, 5.69, 7.75, 10.25, 99.0, 99.0, 99.0, 99.0]}",131.571
118800,90.0,21929.55273438,-121017.3046875,sa_5_2022_spring_cdwr_291352,cdwr_sacv,"{""RHO"": [64.12, 82.91, 79.86, 67.58, 50.35, 31.02, 14.72, 9.278, 14.23, 16.26, 12.6, 11.75, 19.99, 39.07, 66.66, 99.33, 133.2, 164.3, 188.7, 203.1, 204.1, 189.6, 158.3, 111.1, 54.07, 10.12, 1.478, 7.278, 15.12, 23.61], ""RHO_STD"": [2.02, 2.02, 2.25, 2.18, 1.92, 1.798, 1.699, 1.437, 1.696, 1.703, 1.63, 1.601, 1.784, 2.04, 2.28, 2.46, 2.57, 2.63, 2.72, 2.89, 3.21, 3.76, 4.6, 5.77, 7.2, 8.52, 8.38, 10.39, 99.0, 99.0]}",123.854
120084,90.0,22365.44335938,-121428.796875,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [33.16, 38.67, 42.05, 42.69, 40.45, 35.03, 28.04, 20.58, 15.25, 12.66, 12.18, 13.43, 17.96, 26.5, 38.71, 53.35, 68.79, 83.52, 95.75, 104.2, 107.7, 105.3, 96.5, 81.39, 61.03, 38.34, 18.94, 9.211, 9.953, 17.51], ""RHO_STD"": [1.726, 1.844, 1.886, 1.891, 1.947, 1.897, 1.781, 1.717, 1.624, 1.582, 1.598, 1.634, 1.736, 1.868, 1.995, 2.11, 2.21, 2.29, 2.36, 2.48, 2.78, 3.42, 4.64, 6.74, 9.95, 99.0, 99.0, 99.0, 99.0, 99.0]}",180.396
120137,90.0,23694.90234375,-120210.21875,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [64.92, 66.83, 66.85, 64.12, 58.05, 48.47, 36.08, 23.01, 13.37, 12.98, 26.91, 56.63, 98.98, 149.5, 204.2, 259.5, 312.0, 357.7, 392.7, 412.7, 413.8, 393.0, 348.7, 281.9, 197.5, 106.7, 32.56, 3.724, 8.309, 27.43], ""RHO_STD"": [1.768, 1.835, 2.0, 1.928, 1.895, 1.924, 1.837, 1.669, 1.535, 1.503, 1.772, 2.01, 2.21, 2.39, 2.55, 2.68, 2.77, 2.81, 2.83, 2.89, 3.04, 3.35, 3.88, 4.66, 5.62, 6.48, 6.55, 4.99, 6.92, 9.56]}",155.187
120110,90.0,22897.64257812,-120829.3984375,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [94.18, 100.4, 101.5, 95.64, 81.55, 59.72, 34.5, 15.38, 11.62, 26.53, 57.87, 99.46, 145.6, 192.4, 237.2, 278.2, 313.7, 341.9, 360.8, 368.5, 363.2, 343.8, 310.1, 263.1, 205.9, 143.5, 83.92, 39.77, 22.84, 17.62], ""RHO_STD"": [1.786, 1.838, 2.11, 2.07, 1.927, 1.9, 1.819, 1.51, 1.443, 1.735, 1.991, 2.18, 2.32, 2.43, 2.52, 2.59, 2.65, 2.68, 2.71, 2.75, 2.86, 3.07, 3.5, 4.29, 5.71, 8.23, 99.0, 99.0, 99.0, 99.0]}",290.466
86703,91.0,22240.890625,-120225.0703125,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [65.85, 53.29, 41.67, 32.15, 24.54, 18.02, 12.12, 8.601, 12.46, 29.25, 61.29, 107.1, 164.2, 229.5, 300.3, 372.5, 442.3, 504.6, 554.1, 584.9, 591.4, 568.7, 513.0, 423.5, 303.4, 164.7, 40.7, 0.46, 5.237, 25.0], ""RHO_STD"": [2.06, 1.877, 1.922, 1.807, 1.713, 1.761, 1.625, 1.506, 1.62, 1.904, 2.17, 2.39, 2.59, 2.78, 2.95, 3.07, 3.13, 3.15, 3.14, 3.16, 3.3, 3.62, 4.22, 5.21, 6.75, 9.02, 99.0, 99.0, 99.0, 99.0]}",89.791
86698,91.0,22379.45117188,-120359.3125,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [67.66, 61.51, 54.25, 45.4, 35.22, 24.31, 14.45, 8.241, 10.68, 27.8, 62.05, 111.1, 172.1, 241.4, 316.0, 392.0, 465.0, 529.9, 581.1, 612.6, 619.0, 595.3, 538.0, 446.1, 323.2, 180.8, 49.77, 0.6228, 3.938, 23.09], ""RHO_STD"": [1.971, 1.868, 1.934, 1.825, 1.757, 1.763, 1.631, 1.445, 1.529, 1.875, 2.14, 2.35, 2.55, 2.76, 2.93, 3.05, 3.11, 3.11, 3.09, 3.12, 3.29, 3.67, 4.37, 5.52, 7.28, 9.84, 99.0, 99.0, 99.0, 99.0]}",93.774
86670,92.0,23138.33789062,-121115.0,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [58.09, 63.64, 65.44, 62.54, 54.79, 43.44, 31.09, 20.91, 14.32, 11.15, 13.55, 25.29, 48.0, 80.13, 118.5, 159.6, 200.1, 236.7, 265.8, 284.7, 290.6, 281.7, 257.1, 217.1, 164.2, 103.5, 46.04, 10.14, 4.131, 14.0], ""RHO_STD"": [1.717, 1.862, 1.999, 1.906, 1.89, 1.908, 1.776, 1.645, 1.577, 1.491, 1.57, 1.769, 1.989, 2.18, 2.35, 2.49, 2.6, 2.67, 2.72, 2.8, 2.98, 3.37, 4.12, 5.43, 7.56, 10.91, 99.0, 99.0, 99.0, 99.0]}",111.951
118763,92.0,22663.06054688,-119908.4296875,sa_5_2022_spring_cdwr_291352,cdwr_sacv,"{""RHO"": [138.6, 120.1, 87.1, 57.95, 35.3, 19.81, 14.96, 26.54, 63.25, 127.1, 213.4, 314.5, 426.5, 542.0, 653.1, 752.3, 832.4, 886.3, 907.0, 888.2, 823.8, 709.9, 546.1, 339.3, 124.9, 11.5, 4.449, 16.63, 38.44, 58.62], ""RHO_STD"": [2.2, 1.92, 2.06, 2.03, 1.814, 1.65, 1.61, 1.746, 2.11, 2.44, 2.66, 2.8, 2.91, 2.99, 3.05, 3.11, 3.17, 3.26, 3.39, 3.61, 3.94, 4.37, 4.87, 5.33, 5.48, 4.75, 2.24, 3.72, 5.68, 7.94]}",290.371
118777,91.0,22323.24609375,-120288.4453125,sa_5_2022_spring_cdwr_291352,cdwr_sacv,"{""RHO"": [279.2, 207.0, 133.4, 73.89, 37.01, 22.0, 18.62, 16.18, 10.38, 10.58, 29.92, 75.48, 146.4, 237.5, 342.8, 455.6, 567.5, 669.2, 750.6, 801.9, 813.7, 778.9, 693.1, 555.6, 372.1, 166.3, 23.77, 0.5353, 11.18, 31.65], ""RHO_STD"": [2.45, 1.922, 1.936, 1.938, 1.793, 1.544, 1.691, 1.629, 1.513, 1.466, 1.853, 2.19, 2.47, 2.73, 2.94, 3.11, 3.23, 3.31, 3.36, 3.42, 3.55, 3.8, 4.24, 4.97, 6.09, 7.79, 10.43, 99.0, 99.0, 99.0]}",84.607
86671,92.0,23112.625,-121087.5625,sa_5_2022_spring_cdwr_203003,cdwr_sacv,"{""RHO"": [63.37, 69.39, 71.45, 68.11, 59.12, 45.76, 30.93, 18.76, 11.69, 10.28, 16.9, 34.41, 62.48, 98.52, 139.2, 181.4, 221.6, 256.7, 283.3, 298.5, 299.7, 285.4, 255.1, 209.9, 152.8, 90.85, 36.76, 7.964, 5.968, 17.73], ""RHO_STD"": [1.695, 1.848, 2.02, 1.93, 1.889, 1.906, 1.778, 1.61, 1.51, 1.47, 1.646, 1.867, 2.08, 2.27, 2.43, 2.56, 2.65, 2.71, 2.79, 2.96, 3.32, 4.01, 5.22, 7.2, 10.25, 99.0, 99.0, 99.0, 99.0, 99.0]}",116.041
120139,92.0,23742.63476562,-120166.0859375,sa_5_2022_spring_cdwr_291401,cdwr_sacv,"{""RHO"": [76.79, 76.14, 75.5, 71.52, 63.34, 50.87, 35.33, 20.21, 10.88, 12.77, 30.1, 62.68, 106.4, 156.9, 210.6, 264.1, 314.2, 357.0, 388.6, 404.8, 401.8, 376.9, 328.8, 259.4, 174.5, 87.35, 23.14, 2.944, 10.07, 30.33], ""RHO_STD"": [1.834, 1.835, 2.02, 1.956, 1.89, 1.903, 1.827, 1.636, 1.465, 1.511, 1.82, 2.06, 2.26, 2.42, 2.57, 2.69, 2.78, 2.83, 2.84, 2.87, 2.97, 3.22, 3.71, 4.53, 5.74, 7.24, 8.37, 7.6, 10.2, 99.0]}",148.713
